customer_id,customer_code,region,signup_date
108,C0108,Scotland,2025-02-23
109,C0109,South,2026-02-11
110,C0110,North,2025-10-26
111,C0111,Midlands,2025-02-18
112,C0112,Wales,2025-03-14
113,C0113,South,2025-01-01
114,C0114,Wales,2026-04-27
115,C0115,South,2025-06-05
116,C0116,South,2023-01-31
117,C0117,South,2026-03-25
118,C0118,Wales,2024-05-02
119,C0119,North,2025-08-11
120,C0120,Midlands,2024-05-23
121,C0121,South,2026-05-30
122,C0122,Scotland,2025-11-29
123,C0123,Scotland,2023-02-24
124,C0124,North,2026-04-21
125,C0125,South,2023-11-08
126,C0126,South,2023-01-11
127,C0127,South,2024-12-10
128,C0128,South,2025-07-15
129,C0129,South,2024-06-25
130,C0130,South,2023-10-25
131,C0131,South,2025-09-23
132,C0132,Midlands,2025-10-05
133,C0133,North,2024-09-14
134,C0134,North,2025-05-22
135,C0135,South,2024-02-12
136,C0136,Scotland,2023-09-01
137,C0137,North,2023-09-08
138,C0138,Midlands,2023-04-02
139,C0139,Wales,2023-02-12
140,C0140,North,2024-11-17
141,C0141,South,2023-12-19
142,C0142,,2023-08-09
143,C0143,South,2025-08-07
144,C0144,Wales,2023-03-25
145,C0145, south ,2023-10-29
146,C0146,Midlands,2025-11-01
147,C0147,Midlands,2023-10-20
148,C0148,,2025-06-10
149,C0149,South,2026-03-16
150,C0150,Midlands,2025-02-13
151,C0151,South,2025-07-01
152,C0152,South,2025-03-15
153,C0153,Midlands,2024-09-01
154,C0154,Midlands,2026-04-07
155,C0155,South,2023-05-16
156,C0156,Scotland,2024-07-04
157,C0157,South,2024-05-05
158,C0158,South,2023-12-03
159,C0159,Midlands,2023-03-05
160,C0160,North,2026-03-26
161,C0161,North,2025-10-17
162,C0162,South,2026-04-04
163,C0163,Midlands,2024-11-24
164,C0164,South,2025-07-28
165,C0165,South,2025-04-30
166,C0166,Scotland,2026-03-28
167,C0167,Midlands,2026-02-16
168,C0168,South,2025-03-08
169,C0169,Midlands,2024-06-29
170,C0170, north ,2025-12-29
171,C0171,Midlands,2024-12-07
172,C0172,,2024-12-23
173,C0173, scotland ,2026-05-22
174,C0174,North,2024-02-19
175,C0175,North,2023-01-04
176,C0176,South,2024-06-12
177,C0177,Midlands,2026-06-25
178,C0178,Midlands,2023-06-29
179,C0179,Midlands,2025-10-25
180,C0180,North,2026-05-25
181,C0181,North,2023-01-09
182,C0182,North,2026-06-30
183,C0183,South,2025-05-09
184,C0184,Midlands,2023-10-16
185,C0185,Scotland,2024-01-26
186,C0186,North,2025-08-19
187,C0187,North,2023-12-01
188,C0188, north ,2025-04-07
189,C0189,South,2024-03-15
190,C0190,South,2024-11-11
191,C0191,Wales,2023-11-22
192,C0192,Wales,2023-08-27
193,C0193,South,2023-08-05
194,C0194,Scotland,2025-09-28
195,C0195,North,2025-05-12
196,C0196, north ,2025-12-11
197,C0197,South,2024-03-17
198,C0198,Midlands,2026-06-11
199,C0199,Midlands,2026-02-05
200,C0200,South,2024-05-30
201,C0201,North,2026-03-22
202,C0202,Midlands,2026-07-15
203,C0203,North,2025-06-17
204,C0204,South,2024-09-26
205,C0205,North,2026-06-06
206,C0206,Midlands,2023-05-18
207,C0207,Scotland,2025-09-26
208,C0208,South,2023-02-20
209,C0209, south ,2023-08-05
210,C0210, midlands ,2023-02-02
211,C0211,Scotland,2023-04-17
212,C0212,Midlands,2023-01-18
213,C0213,South,2024-02-05
214,C0214,Midlands,2026-04-02
215,C0215,Midlands,2025-04-13
216,C0216,Midlands,2024-02-07
217,C0217,South,2023-04-08
218,C0218,Midlands,2023-03-05
219,C0219,Midlands,2026-02-02
220,C0220,Midlands,2023-07-19
221,C0221, midlands ,2025-05-18
222,C0222,,2026-05-08
223,C0223,South,2025-05-08
224,C0224,North,2023-12-26
225,C0225,Wales,2023-01-20
226,C0226,Scotland,2025-07-09
227,C0227,North,2026-07-01
228,C0228,Scotland,2025-09-03
229,C0229,North,2024-11-16
230,C0230,South,2024-07-04
231,C0231,Scotland,2025-12-08
232,C0232,Wales,2026-04-13
233,C0233,Midlands,2023-10-24
234,C0234,Scotland,2023-09-01
235,C0235,South,2024-09-23
236,C0236,South,2024-06-09
237,C0237,North,2026-04-26
238,C0238,Midlands,2025-07-02
239,C0239,South,2024-07-29
240,C0240,South,2025-03-03
241,C0241,Midlands,2024-06-13
242,C0242,South,2024-11-02
243,C0243,South,2025-02-24
244,C0244,North,2024-02-17
245,C0245,South,2024-08-14
246,C0246,Midlands,2024-04-06
247,C0247,Scotland,2025-11-08
248,C0248,Midlands,2024-01-26
249,C0249,Scotland,2023-04-26
250,C0250,North,2025-03-30
251,C0251,North,2026-07-19
252,C0252,North,2026-04-02
253,C0253,South,2024-10-22
254,C0254,South,2023-05-09
255,C0255,Scotland,2023-12-28
256,C0256,Midlands,2025-03-26
257,C0257,Scotland,2024-10-02
258,C0258,South,2025-12-12
259,C0259,Wales,2026-05-02
260,C0260,Midlands,2026-02-13
